42,ipv4,5.57.80.238
42,ipv6,2001:7f8:17::2a:1
714,ipv4,5.57.81.57
714,ipv6,2001:7f8:17::2ca:3
714,ipv4,5.57.81.58
714,ipv6,2001:7f8:17::2ca:4
2529,ipv4,5.57.80.10
2818,ipv4,5.57.80.90
2818,ipv6,2001:7f8:17::b02:1
2818,ipv4,5.57.80.91
2818,ipv6,2001:7f8:17::b02:2
2906,ipv4,5.57.80.229
2906,ipv6,2001:7f8:17::b5a:1
3213,ipv4,5.57.80.153
3213,ipv6,2001:7f8:17::c8d:2
3213,ipv4,5.57.80.152
3213,ipv6,2001:7f8:17::c8d:1
3856,ipv4,5.57.80.239
3856,ipv6,2001:7f8:17::f10:1
5413,ipv4,5.57.80.14
5413,ipv6,2001:7f8:17::1525:1
5503,ipv4,5.57.80.75
5503,ipv6,2001:7f8:17::157f:2
5503,ipv4,5.57.80.74
5503,ipv6,2001:7f8:17::157f:1
5607,ipv4,5.57.81.128
5607,ipv6,2001:7f8:17::15e7:1
6067,ipv4,5.57.80.88
6067,ipv6,2001:7f8:17::17b3:2
6067,ipv4,5.57.80.89
6067,ipv6,2001:7f8:17::17b3:1
6507,ipv4,5.57.81.93
6774,ipv4,5.57.80.170
6774,ipv6,2001:7f8:17::1a76:1
6908,ipv4,5.57.81.21
6908,ipv6,2001:7f8:17::1afc:1
6939,ipv4,5.57.80.128
6939,ipv6,2001:7f8:17::1b1b:1
7342,ipv4,5.57.80.30
7342,ipv6,2001:7f8:17::1cae:1
7713,ipv4,5.57.81.126
7713,ipv6,2001:7f8:17::1e21:1
8075,ipv4,5.57.81.17
8075,ipv6,2001:7f8:17::1f8b:1
8190,ipv4,5.57.80.38
8190,ipv6,2001:7f8:17::1ffe:1
8218,ipv4,5.57.80.210
8218,ipv6,2001:7f8:17::201a:1
8282,ipv4,5.57.80.66
8282,ipv6,2001:7f8:17::205a:1
8330,ipv4,5.57.80.253
8330,ipv6,2001:7f8:17::208a:253
8330,ipv4,5.57.80.250
8330,ipv6,2001:7f8:17::208a:250
8330,ipv4,5.57.81.3
8426,ipv4,5.57.81.81
8426,ipv6,2001:7f8:17::20ea:1
8468,ipv4,5.57.80.135
8468,ipv6,2001:7f8:17::2114:1
8530,ipv4,5.57.80.108
8530,ipv6,2001:7f8:17::2152:1
8550,ipv4,5.57.80.2
8550,ipv6,2001:7f8:17::2
8553,ipv4,5.57.80.110
8607,ipv4,5.57.80.78
8607,ipv6,2001:7f8:17::219f:1
8674,ipv4,5.57.81.61
8674,ipv6,2001:7f8:17::21e2:1
8674,ipv4,5.57.81.62
8674,ipv6,2001:7f8:17::21e2:2
8676,ipv4,5.57.80.150
8676,ipv6,2001:7f8:17::21e4:1
8676,ipv4,5.57.80.151
8676,ipv6,2001:7f8:17::21e4:2
8683,ipv4,5.57.80.52
8838,ipv4,5.57.80.123
8838,ipv6,2001:7f8:17::2286:1
8838,ipv4,5.57.80.122
8838,ipv6,2001:7f8:17::2286:2
8897,ipv4,5.57.80.22
8897,ipv6,2001:7f8:17::22c1:1
8897,ipv4,5.57.80.23
8897,ipv6,2001:7f8:17::22c1:2
8916,ipv4,5.57.80.100
8916,ipv6,2001:7f8:17::22d4:1
8966,ipv4,5.57.81.101
8966,ipv6,2001:7f8:17::2306:1
9009,ipv4,5.57.81.200
9009,ipv6,2001:7f8:17::2331:1
10310,ipv4,5.57.81.130
10310,ipv6,2001:7f8:17::2846:1
10310,ipv4,5.57.81.131
10310,ipv6,2001:7f8:17::2846:2
12041,ipv4,5.57.80.227
12041,ipv6,2001:7f8:17::2f09:1
12200,ipv4,5.57.81.27
12200,ipv6,2001:7f8:17::2fa8:1
12390,ipv4,5.57.80.18
12390,ipv6,2001:7f8:17::3066:1
12496,ipv4,5.57.80.133
12496,ipv6,2001:7f8:17::30d0:2
12496,ipv4,5.57.80.132
12496,ipv6,2001:7f8:17::30d0:1
12519,ipv4,5.57.80.121
12519,ipv6,2001:7f8:17::30e7:2
12519,ipv4,5.57.80.120
12519,ipv6,2001:7f8:17::30e7:1
12536,ipv4,5.57.81.30
12536,ipv6,2001:7f8:17::30f8:1
12775,ipv4,5.57.80.225
12775,ipv6,2001:7f8:17::31e7:1
13009,ipv4,5.57.81.188
13009,ipv6,2001:7f8:17::32d1:1
13009,ipv4,5.57.81.189
13009,ipv6,2001:7f8:17::32d1:2
13030,ipv4,5.57.81.7
13030,ipv6,2001:7f8:17::32e6:1
13037,ipv4,5.57.80.48
13037,ipv6,2001:7f8:17::32ed:1
13335,ipv4,5.57.81.75
13335,ipv6,2001:7f8:17::3417:1
13414,ipv4,5.57.81.31
13414,ipv6,2001:7f8:17::3466:1
