8560,ipv4,80.249.208.220
8560,ipv6,2001:7f8:1::a500:8560:1
47447,ipv4,80.249.213.56
47447,ipv6,2001:7f8:1::a504:7447:1
197219,ipv4,80.249.208.143
197219,ipv6,2001:7f8:1:0:a500:19:7219:1
39351,ipv4,80.249.213.131
39351,ipv6,2001:7f8:1::a503:9351:1
199837,ipv4,80.249.212.26
199837,ipv6,2001:7f8:1:0:a500:19:9837:1
51555,ipv4,80.249.212.45
51555,ipv6,2001:7f8:1::a505:1555:1
51088,ipv4,80.249.208.209
51088,ipv6,2001:7f8:1::a505:1088:1
48345,ipv4,80.249.213.138
48345,ipv6,2001:7f8:1::a504:8345:3
395561,ipv4,80.249.213.130
395561,ipv6,2001:7f8:1:0:a500:39:5561:1
41798,ipv4,103.247.139.68
41798,ipv6,2001:df0:296::a504:1798:1
43142,ipv4,80.249.210.190
43142,ipv6,2001:7f8:1::a504:3142:1
15224,ipv4,80.249.208.61
15224,ipv4,80.249.211.60
30818,ipv4,80.249.211.108
30818,ipv6,2001:7f8:1::a503:818:1
51646,ipv4,80.249.210.122
51646,ipv6,2001:7f8:1::a505:1646:2
51646,ipv4,80.249.210.101
51646,ipv6,2001:7f8:1::a505:1646:1
12041,ipv4,80.249.208.190
12041,ipv6,2001:7f8:1::a501:2041:1
2484,ipv4,80.249.208.242
2484,ipv6,2001:7f8:1::a500:2484:1
19440,ipv4,193.105.101.136
19440,ipv4,193.105.101.137
50056,ipv4,80.249.211.33
50056,ipv6,2001:7f8:1::a505:56:1
29119,ipv4,80.249.211.91
29119,ipv6,2001:7f8:1::a502:9119:1
20940,ipv4,103.247.139.17
20940,ipv6,2001:df0:296::a502:940:1
20940,ipv4,80.249.208.168
20940,ipv6,2001:7f8:1::a502:940:1
20940,ipv4,80.249.209.208
20940,ipv6,2001:7f8:1::a502:940:2
20940,ipv4,80.249.211.233
20940,ipv6,2001:7f8:1::a502:940:3
20940,ipv4,200.0.20.25
20940,ipv6,2001:13c7:6004::a502:940:1
20940,ipv4,206.41.106.16
20940,ipv6,2001:504:3d:1:0:a502:940:2
20940,ipv4,206.108.115.14
20940,ipv6,2001:504:38:1:0:a502:940:3
32787,ipv4,80.249.213.92
32787,ipv6,2001:7f8:1::a503:2787:1
198028,ipv4,80.249.210.61
51254,ipv4,80.249.213.6
51254,ipv6,2001:7f8:1::a505:1254:1
206264,ipv4,80.249.213.10
206264,ipv6,2001:7f8:1:0:a500:20:6264:1
34442,ipv4,80.249.211.110
34442,ipv6,2001:7f8:1::a503:4442:1
16509,ipv4,103.247.139.10
16509,ipv6,2001:df0:296::a501:6509:1
16509,ipv4,103.247.139.61
16509,ipv4,80.249.210.100
16509,ipv6,2001:7f8:1::a501:6509:1
16509,ipv4,80.249.210.217
16509,ipv6,2001:7f8:1::a501:6509:2
16509,ipv4,206.108.115.36
16509,ipv6,2001:504:38:1:0:a501:6509:1
8315,ipv4,80.249.210.90
8315,ipv6,2001:7f8:1::a500:8315:1
42473,ipv4,80.249.211.58
42473,ipv6,2001:7f8:1::a504:2473:1
42473,ipv4,80.249.213.102
42473,ipv6,2001:7f8:1::a504:2473:2
37468,ipv4,80.249.213.48
37468,ipv6,2001:7f8:1::a503:7468:1
5588,ipv4,80.249.209.185
5588,ipv6,2001:7f8:1::a500:5588:1
42841,ipv4,80.249.212.204
42841,ipv6,2001:7f8:1::a504:2841:1
34868,ipv4,80.249.210.139
34868,ipv6,2001:7f8:1::a503:4868:1
135391,ipv4,80.249.213.28
135391,ipv6,2001:7f8:1:0:a500:13:5391:1
714,ipv4,80.249.211.160
714,ipv6,2001:7f8:1::a500:714:1
714,ipv4,80.249.211.183
714,ipv6,2001:7f8:1::a500:714:2
29990,ipv4,80.249.210.216
29990,ipv6,2001:7f8:1::a502:9990:1
29990,ipv4,80.249.210.30
29990,ipv6,2001:7f8:1::a502:9990:2
60893,ipv4,80.249.210.227
60893,ipv6,2001:7f8:1::a506:893:1
33873,ipv4,80.249.208.178
33873,ipv6,2001:7f8:1::a503:3873:1
11179,ipv4,80.249.212.73
11179,ipv4,80.249.212.74
33891,ipv4,80.249.209.128
33891,ipv6,2001:7f8:1::a503:3891:1
28929,ipv4,80.249.211.252
28929,ipv6,2001:7f8:1::a502:8929:1
24167,ipv4,80.249.208.184
24167,ipv6,2001:7f8:1::a502:4167:1
62052,ipv4,80.249.212.182
8455,ipv4,80.249.211.217
8455,ipv6,2001:7f8:1::a500:8455:1
2686,ipv4,80.249.208.194
2686,ipv6,2001:7f8:1::a500:2686:1
2686,ipv4,80.249.208.37
2686,ipv6,2001:7f8:1::a500:2686:2
134390,ipv4,80.249.210.12
134390,ipv6,2001:7f8:1:0:a500:13:4390:1
2635,ipv4,80.249.211.212
2635,ipv6,2001:7f8:1::a500:2635:1
45430,ipv4,103.247.139.48
45430,ipv6,2001:df0:296::a504:5430:1
50812,ipv4,80.249.213.27
41405,ipv4,80.249.212.210
41405,ipv6,2001:7f8:1::a504:1405:1
42649,ipv4,80.249.213.94
42649,ipv6,2001:7f8:1::a504:2649:1
8473,ipv4,80.249.208.99
8473,ipv6,2001:7f8:1::a500:8473:1
25369,ipv4,80.249.212.219
25369,ipv6,2001:7f8:1::a502:5369:1
25148,ipv4,80.249.209.42
25148,ipv6,2001:7f8:1::a502:5148:1
31449,ipv4,80.249.210.71
31449,ipv6,2001:7f8:1::a503:1449:1
6774,ipv4,193.105.101.138
6774,ipv4,193.105.101.139
6774,ipv4,80.249.209.76
6774,ipv6,2001:7f8:1::a500:6774:2
6774,ipv4,103.247.138.195
6774,ipv4,80.249.213.124
6774,ipv4,103.247.139.56
6774,ipv4,206.126.240.29
6774,ipv6,2001:504:34:1:0:a500:6774:1
8368,ipv4,80.249.209.97
8368,ipv6,2001:7f8:1::a500:8368:1
2611,ipv4,80.249.208.43
2611,ipv6,2001:7f8:1::a500:2611:1
2611,ipv4,80.249.210.44
2611,ipv6,2001:7f8:1::a500:2611:2
58966,ipv4,223.31.200.8
8551,ipv4,80.249.209.46
8551,ipv6,2001:7f8:1::a500:8551:1
9498,ipv4,80.249.211.191
9498,ipv6,2001:7f8:1::a500:9498:1
60011,ipv4,80.249.213.136
60011,ipv6,2001:7f8:1::a506:11:1
12859,ipv4,80.249.208.200
12859,ipv6,2001:7f8:1::a501:2859:2
