1239 10405|mkc-us
21320 13092|bud-hu
21320 1955|bud-hu
21320 199354|lon-gb
21320 202012|lon-gb
21320 2852|prg-cz
21320 3208|mrs-fr
21320 3268|lon-gb,fra-de
21320 378|lon-gb
21320 40981|bud-hu
21320 513|gva-ch
21320 559|par-fr,gva-ch
21320 766|gva-ch
21320 8501|poz-pl
21320 8517|bud-hu
25074 20830|muc-de
25074 42221|dus-de
25074 44946|dus-de
25180 203897|lon-gb
25180 41951|lon-gb
25180 57228|lon-gb
25376 29540|man-gb
25376 57672|man-gb
28178 264261|cot-ia
286 109|almere-nl
286 1103|amstnl-nl
286 11081|mia-us
286 11164|chi-us
286 1136|rtm-nl,amstnl-nl
286 12337|nue-de
286 12390|lon-gb
286 1239|amstnl-nl,ashburn-us
286 12414|amstnl-nl
286 12480|fra-de
286 12678|fra-de
286 12684|fra-de
286 12693|ber-de
286 12713|fra-de
286 12732|ber-de
286 1273|amstnl-nl
286 12843|fra-de
286 1299|amstnl-nl
286 13005|lon-gb
286 13054|fra-de
286 13124|fra-de
286 13335|ham-de,ber-de,jfk-us
286 13443|amstnl-nl
286 14340|lon-gb,ashburn-us
286 15542|amstnl-nl
286 15598|nue-de,muc-de
286 1668|amstnl-nl
286 174|chi-us,amstnl-nl,lon-gb
286 19151|chi-us
286 197071|fra-de
286 197727|amstnl-nl
286 198089|rtm-nl
286 198930|fra-de
286 199408|amstnl-nl
286 201403|amstnl-nl
286 201405|amstnl-nl
286 202023|fra-de
286 202885|fra-de
286 203968|fra-de
286 20495|amstnl-nl
286 20546|fra-de
286 20771|fra-de
286 20847|amstnl-nl
286 20849|fra-de
286 20940|lon-gb,dus-de,rtm-nl,ashburn-us,fra-de
286 20953|amstnl-nl
286 21473|fra-de
286 24785|amstnl-nl
286 24875|amstnl-nl
286 25068|fra-de
286 25182|amstnl-nl
286 25459|amstnl-nl
286 25542|amstnl-nl
286 2828|ashburn-us
286 28725|fra-de
286 29063|amstnl-nl
286 2906|dus-de,mia-us,jfk-us,ashburn-us,ber-de
286 29259|fra-de
286 29263|amstnl-nl
286 29551|ber-de
286 29632|fra-de
286 30238|amstnl-nl
286 30740|man-gb
286 30742|ham-de
286 31025|fra-de
286 31078|ber-de
286 31477|amstnl-nl
286 3265|amstnl-nl
286 3303|amstnl-nl
286 3320|amstnl-nl
286 3356|sjc-us,amstnl-nl,fra-de
286 33854|lon-gb
286 34895|ham-de
286 3491|amstnl-nl
286 34984|ist-tr
286 35805|fra-de
286 37271|amstnl-nl
286 39063|fra-de
286 39090|nue-de
286 39180|fra-de
286 41108|dus-de
286 41960|amstnl-nl
286 42063|dus-de
286 42344|lon-gb
286 42385|fra-de
286 42416|fra-de
286 42473|fra-de
286 42652|fra-de
286 42965|ham-de
286 4323|chi-us
286 44217|fra-de
286 44891|lon-gb
286 44944|bru-be,anr-be
286 45012|ham-de
286 47167|amstnl-nl
286 47474|lon-gb
286 47605|fra-de
286 48297|fra-de
286 48918|fra-de
286 50343|amstnl-nl
286 50533|fra-de
286 50611|sto-se
286 51167|fra-de
286 54113|fra-de
286 5511|lon-gb
286 5521|fra-de
286 56837|bru-be
286 57607|str-de
286 57795|amstnl-nl
286 58010|fra-de
286 59524|alsmer-nl
286 59675|fra-de
286 60522|fra-de
286 6067|lon-gb
286 60805|amstnl-nl
286 61157|fra-de
286 61266|fra-de
286 63199|fra-de
286 6453|chi-us,amstnl-nl
286 680|fra-de
286 6833|str-de
286 7018|jfk-us
286 714|mia-us,dal-us
286 7922|jfk-us
286 8224|karlsruhe-de
286 8315|amstnl-nl
286 8328|oudemeer-nl
286 8487|lon-gb
286 8596|vie-at
286 8717|fra-de
286 8897|lon-gb
286 8928|amstnl-nl
286 9116|fra-de
286 9150|amstnl-nl
286 9211|ham-de
2914 10013|tyo-jp
2914 10021|tyo-jp
2914 10030|xkl-my
2914 10099|mrt-hk
2914 10101|sin-sg
2914 10146|sin-sg
2914 10158|sel-kr
2914 101|lke-us
2914 10204|xkl-my
2914 10217|jkt-id
2914 10297|stk-us
2914 10474|lon-gb
2914 10674|atl-us
2914 10745|stk-us
2914 10912|lax-us
2914 10913|stk-us
2914 109|tyo-jp
2914 1103|amstnl-nl
2914 11054|sydnau-au,stk-us
2914 11232|iah-us
2914 11274|lke-us
2914 11385|lke-us
2914 11404|lke-us,mlpsca-us
2914 11483|stk-us
2914 11537|stk-us
2914 11666|lon-gb
2914 11767|mia-us
2914 12008|sin-sg,mlpsca-us,mia-us,lon-gb,fra-de,tseung-hk,iah-us,sydnau-au,mad-es,chi-us,lax-us,tyo-jp,taipei-tw,stk-us
2914 12041|tyo-jp
2914 12085|stk-us
2914 12129|chi-us,stk-us
2914 12179|iah-us
2914 12180|mia-us
2914 12182|mlpsca-us
2914 12200|chi-us,iah-us,stk-us
2914 12222|iah-us
2914 12252|jfk-us
2914 12290|lon-gb
2914 12306|fra-de
2914 12337|fra-de
2914 12389|fra-de
2914 12390|lon-gb
2914 1239|lon-gb,amstnl-nl
2914 12414|amstnl-nl
2914 12578|sto-se
2914 1257|lon-gb
2914 12637|mil-it
2914 12654|lon-gb,mlpsca-us,fra-de
2914 12716|fra-de
2914 1273|fra-de,amstnl-nl
2914 1280|mlpsca-us
2914 12850|mil-it
2914 12902|amstnl-nl
2914 12956|amstnl-nl
2914 1299|amstnl-nl,stk-us
2914 13005|lon-gb
2914 13037|lon-gb
2914 131157|tyo-jp
2914 131589|taipei-tw
2914 131893|tyo-jp,osa-jp
2914 132084|tseung-hk
2914 132111|xkl-my
2914 132132|sin-sg
2914 132134|sin-sg
2914 132211|tyo-jp
2914 132602|sin-sg
2914 133045|sydnau-au
2914 133142|tseung-hk
2914 13331|lke-us
2914 13335|tyo-jp
2914 133421|xkl-my
2914 133444|xkl-my
2914 133530|lke-us,mlpsca-us,sydnau-au,stk-us
2914 13354|iah-us
2914 133612|sydnau-au
2914 133613|mrt-hk
2914 13370|lke-us
2914 133752|mrt-hk
2914 133771|tseung-hk
2914 133929|mrt-hk
2914 133959|sin-sg
2914 13414|fra-de
2914 134387|tseung-hk
2914 134391|mia-us
2914 134396|tyo-jp
2914 134399|mlpsca-us
2914 13443|sin-sg
2914 13445|tyo-jp
2914 13490|stk-us
2914 13536|jfk-us
2914 135373|tseung-hk
2914 135391|mrt-hk
2914 13647|stk-us
2914 13649|iah-us
2914 13768|jfk-us
2914 13789|jfk-us
2914 13901|tyo-jp
2914 14051|sac-us
2914 14061|lon-gb,sin-sg,mlpsca-us,jfk-us,fra-de
2914 1412|lax-us
2914 14153|par-fr,mlpsca-us,fra-de,tseung-hk,iah-us,amstnl-nl,atl-us,chi-us,lax-us,stk-us
2914 14210|lax-us,stk-us
2914 14244|stk-us
2914 14340|par-fr,lon-gb
2914 14361|lke-us
2914 14381|amstnl-nl
2914 14413|lon-gb,stk-us
2914 14492|iah-us
2914 14537|jfk-us
2914 14589|mlpsca-us
2914 14627|lax-us
2914 14745|atl-us
2914 14907|mlpsca-us,iah-us,stk-us
2914 14928|chi-us
2914 15008|atl-us
2914 15133|sin-sg,fra-de,mad-es,par-fr,chi-us,jfk-us,mia-us,lon-gb,mrt-hk,lke-us,amstnl-nl,vie-at,waw-pl,sto-se,iah-us,atl-us,lax-us,stk-us,mlpsca-us,bos-us,osa-jp,mil-it,tyo-jp
2914 15224|sin-sg,mlpsca-us,lon-gb,tseung-hk,amstnl-nl,sydnau-au,iah-us,tyo-jp,stk-us
2914 15412|par-fr,lon-gb,jfk-us
2914 15450|mad-es
2914 15562|chi-us,mlpsca-us,amstnl-nl
2914 15570|lon-gb
2914 15699|mad-es
2914 15701|lon-gb
2914 15802|sin-sg
2914 15830|amstnl-nl
2914 15954|mad-es
2914 16347|par-fr
2914 16413|jfk-us
2914 16463|stk-us
2914 16509|mlpsca-us,waw-pl,mia-us,chi-us,fra-de,lke-us,osa-jp,amstnl-nl,sydnau-au,iah-us,atl-us,lon-gb,lax-us,mrt-hk,taipei-tw,jfk-us,stk-us
2914 16552|sin-sg,mlpsca-us,mia-us,tyo-jp,fra-de,lke-us,iah-us,sydnau-au,amstnl-nl,chi-us,lax-us,mrt-hk,lon-gb,jfk-us,stk-us
2914 1668|fra-de,amstnl-nl
2914 16713|lke-us
2914 16876|stk-us
2914 16880|mlpsca-us,stk-us
2914 16970|chi-us
2914 17054|chi-us
2914 17113|bos-us
2914 17408|taipei-tw
2914 174|par-fr,fra-de,amstnl-nl,jfk-us,stk-us
2914 17516|tyo-jp,osa-jp
2914 17534|osa-jp
2914 17554|tseung-hk
2914 17557|sin-sg
2914 17645|sin-sg
2914 17660|sin-sg
2914 17675|tyo-jp
2914 17709|taipei-tw
2914 17819|sydnau-au
2914 17931|tyo-jp
2914 17944|tyo-jp
2914 18000|sydnau-au
2914 18001|sin-sg
2914 18077|osa-jp
2914 18092|tyo-jp
2914 18097|tyo-jp
2914 18126|tyo-jp
2914 18210|sydnau-au
2914 18260|osa-jp
2914 18268|osa-jp
2914 18282|tyo-jp
2914 18379|jkt-id
2914 18403|mrt-hk
2914 18450|lax-us
2914 18501|lax-us
2914 18680|iah-us
2914 18683|chi-us
2914 18712|chi-us
2914 18779|mlpsca-us
2914 18915|mlpsca-us
2914 18973|jfk-us
2914 19024|chi-us
2914 19151|stk-us
2914 1916|mia-us
2914 19271|stk-us
2914 19318|jfk-us
2914 19506|mlpsca-us,jfk-us
2914 19528|lke-us
2914 19551|sin-sg,mlpsca-us,waw-pl,mia-us,lon-gb,mad-es,fra-de,lke-us,osa-jp,iah-us,mil-it,tyo-jp,atl-us,chi-us,lax-us,tseung-hk,jfk-us,stk-us
2914 196752|amstnl-nl
2914 19679|fra-de,sin-sg,amstnl-nl,mrt-hk
2914 196881|lon-gb
2914 19693|jfk-us
2914 197595|amstnl-nl,sto-se
2914 198018|stk-us
2914 198047|lon-gb
2914 198290|lux-lu
2914 198435|par-fr
2914 198440|lon-gb
2914 198913|fra-de
2914 19893|sac-us,stk-us
2914 198949|fra-de
2914 19905|sin-sg,mlpsca-us,amstnl-nl,stk-us
2914 19930|chi-us
2914 199524|mrt-hk,sin-sg,sydnau-au,tyo-jp
2914 199659|lon-gb
2914 200077|tseung-hk
2914 20021|stk-us
2914 200561|fra-de
2914 20099|iah-us
2914 201175|mil-it
2914 20141|atl-us
2914 202032|mil-it
2914 202120|amstnl-nl
2914 202222|lon-gb
2914 203507|fra-de
2914 203568|lon-gb
2914 203724|lon-gb
2914 20394|lke-us
2914 20473|sin-sg,mlpsca-us,mia-us,tyo-jp,fra-de,lke-us,amstnl-nl,iah-us,par-fr,chi-us,lax-us,lon-gb,jfk-us
2914 20485|fra-de
2914 205848|lon-gb
2914 206747|lon-gb
2914 20679|lon-gb
2914 20712|lon-gb
2914 20804|waw-pl
2914 20853|waw-pl
2914 20940|atl-us,mlpsca-us,mia-us,tyo-jp,mad-es,mrt-hk,lke-us,osa-jp,iah-us,taipei-tw,par-fr,chi-us,lax-us,amstnl-nl,fra-de,vie-at,sto-se,lon-gb,jfk-us,stk-us
2914 209|chi-us,stk-us
2914 21221|amstnl-nl
2914 21321|jfk-us
2914 21371|par-fr
2914 21523|iah-us
2914 21525|lke-us
2914 21554|chi-us
2914 21688|stk-us
2914 21743|lke-us
2914 21949|jfk-us
2914 22023|lax-us
2914 22132|atl-us
2914 22302|jfk-us
2914 22317|lke-us
2914 22414|stk-us
2914 22439|lax-us
2914 22442|iah-us
2914 22626|atl-us
2914 226|lax-us
2914 22773|mlpsca-us,iah-us,atl-us,lax-us,jfk-us,stk-us
2914 23308|lax-us
2914 23352|mlpsca-us,tyo-jp,amstnl-nl,chi-us,lon-gb,stk-us
2914 23367|chi-us
2914 23454|jfk-us
2914 23473|chi-us,lax-us,jfk-us
2914 23520|mia-us
2914 23539|mrt-hk,amstnl-nl
2914 23627|tyo-jp
2914 23629|tyo-jp
2914 23641|tyo-jp
2914 23655|mlpsca-us
2914 23686|sydnau-au
2914 23774|osa-jp
2914 23783|tyo-jp
2914 23816|tyo-jp
2914 23820|tyo-jp
2914 23944|tyo-jp
2914 23947|jkt-id
2914 24121|osa-jp
2914 24173|mrt-hk
2914 24176|mrt-hk
2914 24218|sin-sg
2914 24245|sydnau-au
2914 24246|mrt-hk
2914 24295|osa-jp
2914 24319|tyo-jp,osa-jp
2914 24334|mrt-hk
2914 24477|tyo-jp,tseung-hk
2914 24482|sin-sg
2914 24572|osa-jp
2914 24592|bcn-es
2914 24611|lux-lu
2914 24642|amstnl-nl
2914 24768|mad-es
2914 24778|lon-gb
2914 2497|stk-us
2914 24989|fra-de
2914 2500|tyo-jp
2914 25091|fra-de
2914 25098|lon-gb
2914 2510|osa-jp
2914 2514|tyo-jp
2914 2519|osa-jp
2914 2526|tyo-jp
2914 25279|fra-de
2914 2527|tyo-jp
2914 25291|fra-de
2914 25369|lon-gb
2914 25394|fra-de
2914 25560|fra-de
2914 25577|lon-gb
2914 25795|lax-us
2914 25899|lke-us
2914 26008|lon-gb,fra-de
2914 262227|mia-us
2914 26223|lke-us
2914 26228|mlpsca-us
2914 26347|stk-us
2914 2635|sin-sg,mlpsca-us,mia-us,chi-us,mad-es,mrt-hk,lke-us,osa-jp,iah-us,sydnau-au,amstnl-nl,atl-us,tyo-jp,lax-us,vie-at,fra-de,sto-se,lon-gb,jfk-us,stk-us
2914 26415|stk-us
2914 26496|chi-us,sin-sg,stk-us
2914 26549|jfk-us
2914 26558|mlpsca-us
2914 26935|lke-us
2914 26978|lax-us
2914 27008|lke-us
2914 2711|atl-us
2914 27224|lax-us
2914 27257|jfk-us
2914 27330|atl-us
2914 27435|fra-de,sin-sg,mlpsca-us,sydnau-au,stk-us
2914 27552|bos-us
2914 27566|jfk-us
2914 27630|lax-us
2914 278|mlpsca-us
2914 2828|lon-gb,amstnl-nl
2914 28716|mil-it
2914 28725|fra-de
2914 28920|lon-gb
2914 29006|lon-gb
2914 29037|fra-de
2914 29049|sof-bg
2914 29066|mrt-hk
2914 2907|tyo-jp,osa-jp
2914 29208|fra-de
2914 29452|lon-gb
2914 29550|lon-gb
2914 29606|lon-gb
2914 29611|lon-gb
2914 29636|lon-gb
2914 29686|fra-de
2914 29748|stk-us
2914 29791|chi-us,amstnl-nl
2914 29834|mlpsca-us
2914 29838|iah-us,jfk-us
2914 29884|iah-us
2914 29904|lke-us
2914 29990|tyo-jp,sin-sg
2914 30148|tyo-jp
2914 30259|stk-us
2914 30282|amstnl-nl
2914 30496|iah-us
2914 30513|bos-us
2914 30517|chi-us
2914 30548|mlpsca-us
2914 30640|mlpsca-us
2914 30740|lon-gb
2914 30844|lon-gb
2914 30848|mil-it
2914 30914|lon-gb
2914 31133|mrt-hk
2914 31263|mil-it
2914 31273|lon-gb
2914 3130|lke-us
2914 31313|fra-de
2914 31400|fra-de
2914 31463|lon-gb
2914 31477|amstnl-nl
2914 31479|bcn-es
2914 31515|sydnau-au
2914 31640|lon-gb
2914 31708|lon-gb
2914 31727|lon-gb
2914 31742|lon-gb
2914 31769|jfk-us
2914 3213|lon-gb
2914 3223|lon-gb
2914 3238|sto-se
2914 32448|bos-us
2914 32478|stk-us
2914 32550|lke-us
2914 32590|tyo-jp,lke-us,atl-us,chi-us,lax-us,vie-at,stk-us
2914 3265|amstnl-nl
2914 32748|chi-us
2914 32787|tyo-jp,lon-gb,fra-de,mlpsca-us,mrt-hk
2914 32934|chi-us,par-fr,sin-sg,mlpsca-us,mia-us,lon-gb,buh-ro,mrt-hk,lke-us,iah-us,mil-it,atl-us,tyo-jp,lax-us,vie-at,fra-de,jfk-us,stk-us
2914 3300|tyo-jp,tseung-hk,sydnau-au,chi-us,lax-us,stk-us
2914 3302|mil-it
2914 3303|fra-de
2914 33047|par-fr,sin-sg,mlpsca-us,mia-us,lon-gb,fra-de,lke-us,iah-us,sydnau-au,amstnl-nl,atl-us,chi-us,lax-us,mrt-hk,jfk-us,stk-us
2914 33132|mia-us
2914 33182|lax-us
2914 3320|par-fr,fra-de,amstnl-nl
2914 33224|lax-us
2914 3327|fra-de,sto-se
2914 33438|tyo-jp
2914 33517|chi-us,sin-sg,mlpsca-us,waw-pl,mia-us,lon-gb,fra-de,tseung-hk,amstnl-nl,sydnau-au,iah-us,tyo-jp,lax-us,lke-us,jfk-us,stk-us
2914 3356|sto-se,fra-de,lke-us,amstnl-nl,lon-gb,lax-us
2914 33597|chi-us,lax-us,mlpsca-us,jfk-us,stk-us
2914 33606|atl-us
2914 33788|lon-gb
2914 34119|lon-gb
2914 34164|par-fr,lon-gb,sto-se,mad-es,amstnl-nl
2914 34209|waw-pl
2914 34224|sof-bg
2914 34347|fra-de
2914 34407|lon-gb
2914 34555|lon-gb
2914 34587|lon-gb,amstnl-nl
2914 34624|fra-de
2914 34655|amstnl-nl
2914 34803|mad-es
2914 34816|lon-gb
2914 3491|fra-de,amstnl-nl
2914 35017|chi-us,mlpsca-us,amstnl-nl
2914 35369|vie-at
2914 35425|lon-gb
2914 35575|lon-gb
2914 35699|bcn-es,mad-es
2914 3573|sin-sg
2914 35847|iah-us
2914 35916|lax-us
2914 35985|iah-us
2914 35994|mlpsca-us,mia-us,lke-us,iah-us,atl-us,stk-us
2914 3599|chi-us
2914 36086|mlpsca-us,mia-us,iah-us,atl-us,chi-us,jfk-us,stk-us
2914 36143|lax-us
2914 36236|mlpsca-us,lon-gb,buh-ro,mrt-hk,lke-us,amstnl-nl,iah-us,par-fr,chi-us,lax-us,fra-de,jfk-us,stk-us
2914 36459|stk-us
2914 36616|sto-se
2914 36617|chi-us
2914 36621|mia-us
2914 36625|lon-gb
2914 36626|tyo-jp
2914 36627|mad-es
2914 36629|par-fr
2914 36631|mrt-hk
2914 36632|lke-us
2914 36692|sin-sg,mlpsca-us,waw-pl,mia-us,lon-gb,buh-ro,fra-de,lke-us,iah-us,sydnau-au,tyo-jp,par-fr,chi-us,lax-us,mrt-hk,jfk-us,stk-us
2914 3693|tyo-jp
2914 37100|lon-gb
2914 37187|lon-gb
2914 37271|fra-de,lon-gb
2914 3727|mlpsca-us
2914 3737|jfk-us,stk-us
2914 3741|lon-gb
2914 3742|lke-us
2914 38001|sel-kr,sin-sg
2914 38016|fra-de
2914 38040|sin-sg
2914 38082|sin-sg
2914 38199|xkl-my
2914 38235|mrt-hk
2914 38258|sin-sg
2914 38322|xkl-my
2914 3842|atl-us,lax-us,lke-us
2914 38496|jkt-id
2914 38525|jkt-id
2914 38566|bkk-th
2914 38629|tyo-jp
2914 38636|tyo-jp
2914 38639|tyo-jp,lon-gb
2914 38861|tyo-jp
2914 38895|sin-sg
2914 3910|fra-de
2914 39263|bcn-es
2914 3927|stk-us
2914 393220|mlpsca-us
2914 393225|stk-us
2914 39326|lon-gb
2914 393667|mlpsca-us,stk-us
2914 394028|mlpsca-us,mia-us,lon-gb,fra-de,iah-us,amstnl-nl,chi-us,lax-us,jfk-us,stk-us
2914 394308|mlpsca-us
2914 3943|iah-us
2914 394437|iah-us
2914 394530|jfk-us
2914 394644|stk-us
2914 394968|chi-us
2914 3949|tyo-jp,lke-us,stk-us
2914 39551|bcn-es
2914 395558|jfk-us
2914 396370|stk-us
2914 40107|iah-us
2914 40185|lax-us,jfk-us
2914 40317|iah-us
2914 40402|mlpsca-us
2914 40428|chi-us,mlpsca-us,stk-us
2914 40528|lax-us
2914 4058|mrt-hk
2914 40913|mlpsca-us
2914 40948|chi-us
2914 41000|lon-gb
2914 41135|jfk-us
2914 4128|iah-us
2914 41313|sof-bg
2914 4134|lon-gb,amstnl-nl
2914 4136|jfk-us
2914 4150|chi-us
2914 4181|jfk-us
2914 42004|lon-gb
2914 4230|jfk-us
2914 42455|lon-gb
2914 4250|mia-us
2914 42525|fra-de
2914 42579|lon-gb
2914 42605|fra-de
2914 42612|mad-es
2914 42831|lon-gb
2914 42973|lon-gb
2914 42|par-fr,sin-sg,mlpsca-us,chi-us,fra-de,iah-us,sydnau-au,atl-us,lon-gb,lax-us,jfk-us,stk-us
2914 43304|fra-de
2914 43354|fra-de
2914 43376|buh-ro
2914 43519|lon-gb,stk-us
2914 43531|chi-us,amstnl-nl
2914 43639|amstnl-nl
2914 44066|fra-de
2914 44160|mil-it
2914 44239|fra-de
2914 44444|lon-gb
2914 44568|lon-gb,amstnl-nl
2914 44679|buh-ro
2914 4474|lke-us
2914 44814|sof-bg
2914 44946|fra-de
2914 45147|sin-sg
2914 45187|tseung-hk
2914 45352|xkl-my
2914 45356|sin-sg
2914 45430|sin-sg
2914 45444|sydnau-au
2914 45474|mrt-hk
2914 45510|sydnau-au
2914 45543|mrt-hk
2914 4557|iah-us
2914 45629|sin-sg
2914 45630|xkl-my
2914 45796|bkk-th
2914 45896|mrt-hk
2914 45899|mrt-hk
2914 4589|lon-gb,fra-de,mad-es,stk-us
2914 45903|mrt-hk
2914 45960|xkl-my
2914 4641|tseung-hk
2914 46450|jfk-us
2914 46475|iah-us
2914 46489|tyo-jp,sin-sg,stk-us
2914 4648|lax-us
2914 4651|mrt-hk
2914 4657|tyo-jp
2914 46656|jfk-us
2914 4672|tyo-jp
2914 4673|tyo-jp,osa-jp
2914 4675|tyo-jp
2914 46785|iah-us
2914 4685|tyo-jp
2914 4693|tyo-jp
2914 4694|osa-jp
2914 4704|osa-jp
2914 4711|tyo-jp
2914 4713|tyo-jp,osa-jp
2914 47169|bud-hu
2914 47172|amstnl-nl
2914 47314|par-fr
2914 4755|mrt-hk
2914 4780|taipei-tw
2914 47886|amstnl-nl
2914 4788|lke-us
2914 4795|jkt-id
2914 47998|lon-gb
2914 4800|sin-sg
2914 4809|tyo-jp
2914 48166|fra-de
2914 4844|sin-sg
2914 4862|tyo-jp
2914 48635|amstnl-nl
2914 49024|fra-de
2914 49074|buh-ro
2914 49182|lon-gb
2914 49229|lon-gb
2914 4922|stk-us
2914 49503|lon-gb
2914 49544|mrt-hk,iah-us,sydnau-au,tyo-jp,lax-us,stk-us
2914 49687|buh-ro
2914 49962|lon-gb
2914 50010|sin-sg
2914 5009|iah-us
2914 50300|lon-gb
2914 50533|fra-de
2914 50611|sel-kr
2914 50622|amstnl-nl
2914 51055|lon-gb
2914 51474|buh-ro
2914 51945|lon-gb
2914 52075|par-fr
2914 53591|lax-us,stk-us
2914 53837|lke-us
2914 53850|lax-us
2914 53907|stk-us
2914 5400|lon-gb
2914 54054|stk-us
2914 5410|par-fr
2914 54113|par-fr,bos-us,mlpsca-us,mia-us,chi-us,mad-es,fra-de,sto-se,osa-jp,amstnl-nl,iah-us,atl-us,lon-gb,lax-us,sin-sg,mrt-hk,lke-us,tyo-jp,jfk-us,stk-us
2914 5413|amstnl-nl
2914 54290|lke-us
2914 54489|iah-us
2914 54500|mlpsca-us
2914 54588|mlpsca-us
2914 54720|iah-us
2914 54876|stk-us
2914 54927|lax-us
2914 55002|fra-de,sin-sg,mlpsca-us,lon-gb,stk-us
2914 5503|lon-gb
2914 5511|par-fr,fra-de,lon-gb
2914 55388|tyo-jp
2914 5539|fra-de
2914 5541|buh-ro
2914 55532|sydnau-au
2914 55555|sydnau-au
2914 55803|sydnau-au
2914 55805|mrt-hk
2914 55891|tyo-jp
2914 55900|tyo-jp
2914 55901|tyo-jp
2914 5605|fra-de
2914 5607|lon-gb
2914 56111|xkl-my
2914 56472|mil-it
2914 56595|lon-gb
2914 56630|fra-de
2914 56647|amstnl-nl
2914 56990|lon-gb
2914 5713|fra-de
2914 57653|lon-gb
2914 57976|mlpsca-us,fra-de,lke-us,iah-us,amstnl-nl,par-fr,lon-gb,jfk-us,stk-us
2914 58431|tyo-jp
2914 58587|sin-sg
2914 58620|sydnau-au
2914 59253|sin-sg
2914 59395|lon-gb
2914 59432|mad-es
2914 59605|lon-gb
2914 59816|lon-gb
2914 60142|mlpsca-us
2914 60157|lon-gb
2914 60447|sof-bg
2914 6057|jfk-us
2914 60610|lon-gb
2914 60626|mad-es
2914 6067|lon-gb
2914 60781|amstnl-nl
2914 60793|lon-gb
2914 60800|lon-gb
2914 60917|mad-es
2914 61049|lon-gb
2914 61149|stk-us
2914 61337|lon-gb
2914 61428|amstnl-nl
2914 61832|mia-us
2914 62023|fra-de
2914 62227|lon-gb
2914 62234|amstnl-nl
2914 62240|lon-gb
2914 62597|par-fr,sin-sg,mlpsca-us,lon-gb,fra-de,tseung-hk,iah-us,atl-us,tyo-jp,lax-us,lke-us,jfk-us,stk-us
2914 63199|tyo-jp
2914 6327|chi-us,lke-us
2914 6336|mrt-hk
2914 63399|tseung-hk,mlpsca-us
2914 63408|stk-us
2914 63494|jkt-id
2914 63528|bkk-th
2914 63916|mrt-hk
2914 63949|atl-us,tyo-jp,mlpsca-us,jfk-us,lon-gb
2914 63956|sydnau-au
2914 63981|tseung-hk
2914 63997|tyo-jp
2914 64096|mrt-hk
2914 64233|jfk-us
2914 6453|fra-de,amstnl-nl
2914 6459|jfk-us
2914 6461|fra-de,amstnl-nl
2914 64|stk-us
2914 6660|tyo-jp
2914 6661|amstnl-nl
2914 6663|fra-de
2914 6735|fra-de
2914 6739|mad-es
2914 6762|fra-de,mil-it
2914 6805|amstnl-nl
2914 6830|amstnl-nl
2914 6908|fra-de,amstnl-nl
2914 7012|lax-us
2914 7018|mlpsca-us,mia-us,lke-us,iah-us,atl-us,chi-us,lax-us,jfk-us,stk-us
2914 7019|stk-us
2914 701|jfk-us,stk-us
2914 7029|mia-us,lke-us,atl-us,chi-us,jfk-us,stk-us
2914 702|fra-de,amstnl-nl
2914 715|mlpsca-us
2914 7160|sin-sg,sydnau-au
2914 7503|tyo-jp,osa-jp
2914 7505|tyo-jp
2914 7506|tyo-jp
2914 7514|tyo-jp
2914 7516|tyo-jp
2914 7522|osa-jp
2914 7529|tyo-jp
2914 7552|mrt-hk
2914 7568|bkk-th
2914 7575|lax-us,mlpsca-us
2914 7598|sydnau-au
2914 7602|mrt-hk
2914 7617|mrt-hk
2914 7670|osa-jp
2914 7671|osa-jp
2914 7682|tyo-jp
2914 7752|lke-us
2914 7754|tyo-jp
2914 7782|lke-us
2914 7784|stk-us
2914 7819|iah-us
2914 7922|lax-us,jfk-us,stk-us
2914 7979|mrt-hk,sin-sg,lux-lu,iah-us,amstnl-nl
2914 812|chi-us,lke-us,stk-us
2914 8151|lax-us,iah-us
2914 8282|lon-gb
2914 8403|fra-de,lke-us,sto-se
2914 8447|vie-at
2914 8455|amstnl-nl
2914 8513|fra-de
2914 8528|par-fr
2914 8529|fra-de
2914 8607|lon-gb
2914 8674|sto-se
2914 8683|lon-gb
2914 8708|fra-de
2914 8717|fra-de
2914 8751|fra-de
2914 8767|fra-de
2914 8866|sof-bg
2914 8928|fra-de
2914 8943|lon-gb
2914 8966|sin-sg
2914 8968|mil-it
2914 8|iah-us
2914 9002|fra-de
2914 9009|buh-ro,lon-gb,amstnl-nl,mad-es
2914 9050|fra-de
2914 9052|mad-es
2914 9121|amstnl-nl
2914 9153|lon-gb
2914 9268|sydnau-au
2914 9269|mrt-hk
2914 9293|tseung-hk
2914 9299|tyo-jp,sin-sg,lke-us
2914 9304|mrt-hk
2914 9318|lke-us
2914 9329|sin-sg
2914 9365|tyo-jp
2914 9370|tyo-jp
2914 9371|osa-jp
2914 9381|mrt-hk
2914 9416|taipei-tw
2914 9498|sin-sg
2914 9505|tyo-jp
2914 9534|xkl-my
2914 9583|sin-sg
2914 9595|tyo-jp,osa-jp
2914 9601|tyo-jp
2914 9605|tyo-jp
2914 9619|tyo-jp
2914 9621|osa-jp
2914 9731|sin-sg
2914 9957|sel-kr
2914 9999|tyo-jp
29527 34623|lon-gb
29670 60729|ber-de
30781 112|par-fr
30781 12350|gva-ch
30781 13443|par-fr
30781 197662|lys-fr
30781 198335|par-fr
30781 198435|lys-fr
30781 198682|par-fr
30781 199327|par-fr
30781 199483|mrs-fr
