13030 12654|fra-de,vie-at,amstnl-nl,jfk-us-thny
13030 12703|lon-gb-thel,lon-gb_linx-juniper
13030 12713|fra-de
13030 12714|fra-de
13030 12715|mad-es
13030 1273|lon-gb,amstnl-nl
13030 12741|waw-pl
13030 12759|amstnl-nl
13030 12843|fra-de
13030 12876|par-fr
13030 12956|lon-gb-thel,lon-gb_linx-juniper
13030 12989|amstnl-nl,mia-us
13030 12993|fra-de
13030 1299|lon-gb,jfk-us-thny,mia-us
13030 13002|fra-de
13030 13122|lon-gb-thel,lon-gb_linx-juniper
13030 13124|fra-de
13030 13285|lon-gb
13030 13335|lon-gb-thel,mia-us,fra-de,lon-gb_linx-juniper,mad-es,par-fr,lax-us,cph-dk,jfk-us-thny
13030 13489|mia-us
13030 13768|lon-gb-thel,lon-gb_linx-juniper
13030 14361|jfk-us-thny
13030 14413|lon-gb-thel,lax-us,lon-gb_linx-juniper,jfk-us-thny
13030 14537|lon-gb-thel,lon-gb_linx-juniper
13030 14589|lax-us
13030 14717|jfk-us-thny
13030 15133|mad-es
13030 15169|glattbrugg-ch
13030 15290|jfk-us-thny
13030 15479|zrh-ch
13030 15498|vie-at
13030 15517|glattbrugg-ch
13030 15547|gva-ch
13030 15557|lon-gb,lon-gb_linx-extreme
13030 15576|glattbrugg-ch
13030 15598|fra-de
13030 15600|zrh-ch
13030 15623|glattbrugg-ch
13030 15743|fra-de
13030 15763|fra-de
13030 15830|lon-gb-thel,lon-gb_linx-juniper,lon-gb_linx-extreme,lon-gb
13030 15925|fra-de
13030 15954|mad-es
13030 16178|fra-de
13030 16242|stglsz-ch
13030 16245|cph-dk
13030 16265|fra-de,amstnl-nl
13030 16276|lon-gb-thel,lon-gb_linx-juniper
13030 16347|par-fr
13030 16509|lon-gb-thel,glattbrugg-ch
13030 16735|mia-us
13030 17676|lax-us
13030 1798|lax-us
13030 18106|lon-gb-thel,lon-gb_linx-juniper
13030 1836|zrh-ch
13030 18779|lax-us
13030 18845|jfk-us-thny
13030 18978|mia-us
13030 19151|jfk-us-thny,mia-us
13030 1916|mia-us
13030 1921|par-fr,lax-us,jfk-us-thny
13030 19551|lon-gb-thel,lon-gb_linx-juniper,fra-de
13030 19679|lon-gb-thel,lon-gb_linx-juniper
13030 197000|amstnl-nl
13030 197981|par-fr
13030 198203|amstnl-nl
13030 198249|zrh-ch
13030 198288|glattbrugg-ch
13030 199071|fra-de
13030 199092|qls-ch
13030 199213|cph-dk
13030 199511|glattbrugg-ch
13030 199714|dus-de
13030 199811|zrh-ch
13030 200759|zrh-ch
13030 20080|mia-us
13030 200921|ber-de
13030 201229|fra-de
13030 201701|dus-de
13030 202109|lon-gb-thel,lon-gb_linx-juniper
13030 202194|qls-ch
13030 20225|jfk-us-thny
13030 203319|amstnl-nl
13030 203724|jfk-us-thny
13030 20473|lon-gb-thel,lon-gb_linx-juniper,mia-us
13030 20562|amstnl-nl
13030 206291|bsl-ch
13030 20634|glattbrugg-ch
13030 20647|fra-de
13030 206484|bsl-ch
13030 20676|fra-de
13030 20704|vie-at
13030 20712|lon-gb-thel,lon-gb_linx-juniper
13030 20738|lon-gb-thel,lon-gb_linx-juniper
13030 20764|fra-de
13030 20773|fra-de
13030 20783|fra-de
13030 20799|lon-gb-thel,lon-gb_linx-juniper
13030 20811|fra-de
13030 20940|mia-us,fra-de,glattbrugg-ch,lax-us,ber-de,jfk-us-thny
13030 20988|glattbrugg-ch
13030 21013|vie-at
13030 21040|glattbrugg-ch
13030 21069|zrh-ch
13030 2110|lon-gb-thel,lon-gb_linx-juniper
